url,domain,path,category,include_in_mvp,discovered_from,discovered_at
https://monzo.com/blog/2017/03/14/12000000,monzo.com,/blog/2017/03/14/12000000,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/03/22/meet-venkat,monzo.com,/blog/2017/03/22/meet-venkat,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/03/28/i-forgot-my-pin,monzo.com,/blog/2017/03/28/i-forgot-my-pin,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/03/31/budget-targets,monzo.com,/blog/2017/03/31/budget-targets,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/03/31/designers-inspiration,monzo.com,/blog/2017/03/31/designers-inspiration,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/04/05/banking-licence,monzo.com,/blog/2017/04/05/banking-licence,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/04/05/profile-pictures-update,monzo.com,/blog/2017/04/05/profile-pictures-update,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/04/06/meet-dan,monzo.com,/blog/2017/04/06/meet-dan,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/04/11/search-on-android,monzo.com,/blog/2017/04/11/search-on-android,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/04/20/crowdfunding-in-numbers,monzo.com,/blog/2017/04/20/crowdfunding-in-numbers,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/04/27/welcome-to-the-drawing-board,monzo.com,/blog/2017/04/27/welcome-to-the-drawing-board,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/03/practical-machine-learning-for-startups,monzo.com,/blog/2017/05/03/practical-machine-learning-for-startups,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/05/why-payments-are-declined,monzo.com,/blog/2017/05/05/why-payments-are-declined,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/08/android-pay-on-monzome,monzo.com,/blog/2017/05/08/android-pay-on-monzome,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/15/intro-to-cops,monzo.com,/blog/2017/05/15/intro-to-cops,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/16/200k-250m,monzo.com,/blog/2017/05/16/200k-250m,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/17/meet-tapas,monzo.com,/blog/2017/05/17/meet-tapas,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/18/night-cops,monzo.com,/blog/2017/05/18/night-cops,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
https://monzo.com/blog/2017/05/19/future-of-cops,monzo.com,/blog/2017/05/19/future-of-cops,blog,False,https://monzo.com/gb-sitemap.xml,2026-08-16T18:47:09.246728+00:00
